Function Selector,Resolved Function Signature,Payable,View,Pure,Returns,Entry Point,Branch Count,Emitted Events,Custom Errors,Storage Slots,Strings,Hardcoded Addresses,Minimum Gas Used,Maximum Gas Used,Average Gas Used,External Calls Made,Control Statements
ef11abe2,"liquidateBorrow(arg0 uint256, arg1 address)",false,false,false,,3039,59,"","","0x0c
0x07
0x01 + keccak256(memory[0])
0x0d
0x0f
0x10
0x13
keccak256(memory[0])
0x08
0x0e
0 + keccak256(memory[0])
0x0b","SafeMath: division by zero
SafeMath: addition overflow
invalid repay amount
ETH value not enough
SafeMath: multiplication overflow
Address: call to non-contract
re-entered
block number check fails
SafeERC20: ERC20 operation did not succeed
ERC20 don't accecpt ETH","",21244,69625,27701,"address(address(storage[0x10])).call{ value: 0 }(0x7aac801700000000000000000000000000000000000000000000000000000000);
address(address(storage[0x10])).call{ value: 0 }(0x778c610a00000000000000000000000000000000000000000000000000000000);
address(address(storage[0x13])).staticcall(0x70a0823100000000000000000000000000000000000000000000000000000000, 0x536166654d6174683a207375627472616374696f6e206f766572666c6f770000);
address(address((address((address(storage[0x13])))))).call{ value: 0 }(0x08c379a000000000000000000000000000000000000000000000000000000000);
address(address(storage[0x13])).staticcall(0x70a0823100000000000000000000000000000000000000000000000000000000);
address(address(storage[0x13])).staticcall(0x70a0823100000000000000000000000000000000000000000000000000000000);
address(address((address((address(storage[0x13])))))).call{ value: 0 }(ret0.length, 0x70a0823100000000000000000000000000000000000000000000000000000000);
address(address(storage[0x13])).staticcall(0x70a0823100000000000000000000000000000000000000000000000000000000, ((0x84 + memory[0x40]) - memory[0x40]) + 0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffe0);
address(address(storage[0x08])).staticcall(0x15f2405300000000000000000000000000000000000000000000000000000000, storage[(0x01 + keccak256(memory[0]))], 0, 0);","if (!(((storage[0x0f] + (memory[(0 + memory[0x40])])) < storage[0x0f]))) { .. }
if (!((!((address((address(storage[0x10]))).code.length))))) { .. }
if (storage[(0x01 + keccak256(memory[0]))]) { .. }
if (!((0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee == (address(storage[0x13]))))) { .. }
if (storage[keccak256(memory[0])]) { .. }
if (bytes1((storage[0x07] / 0x010000000000000000000000000000000000000000))) { .. }
if (arg1 == (address(arg1))) { .. }
if (storage[0x0e] == block.number) { .. }
if (storage[0x0d]) { .. }
if (!((!((address((address(storage[0x13]))).code.length))))) { .. }
if (!(((storage[0x0d]) & ((0x0de0b6b3a7640000 > (0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff / storage[0x0d])))))) { .. }
if (((storage[0x0d] * 0x0de0b6b3a7640000) / storage[0x0d]) == 0x0de0b6b3a7640000) { .. }
if (!((storage[0x0f] > (~((memory[(0 + memory[0x40])])))))) { .. }
if (!((block.number == storage[0x0e]))) { .. }
if (!((!((address((address(storage[0x08]))).code.length))))) { .. }
if (address((address((address(storage[0x13]))))).code.length) { .. }"
b2e6faaf,"orderBorrows(arg0 uint256)",false,true,false,bytes memory,2423,2,"","","keccak256(memory[0])
keccak256(memory[0]) + 0x01","","",21251,25711,22406,"",""
37cd3f07,"repayBorrowAndClaim(arg0 uint256, arg1 address)",false,false,false,,1437,58,"","","0x13
0x08
keccak256(memory[0])
0x0e
0 + keccak256(memory[0])
0x0b
0x0d
0x07
0x10
0x01 + keccak256(memory[0])
0x0f
0x0c","Address: call to non-contract
SafeERC20: ERC20 operation did not succeed
ERC20 don't accecpt ETH
invalid repay amount
block number check fails
SafeMath: multiplication overflow
SafeMath: addition overflow
SafeMath: division by zero
ETH value not enough
borrower is wrong
re-entered","",21224,66297,24334,"address(address(storage[0x10])).call{ value: 0 }(0x778c610a00000000000000000000000000000000000000000000000000000000);
address(address(storage[0x13])).staticcall(0x70a0823100000000000000000000000000000000000000000000000000000000, 0x536166654d6174683a207375627472616374696f6e206f766572666c6f770000);
address(address((address((address(storage[0x13])))))).call{ value: 0 }(0x08c379a000000000000000000000000000000000000000000000000000000000);
address(address(storage[0x13])).staticcall(0x70a0823100000000000000000000000000000000000000000000000000000000);
address(address(storage[0x13])).staticcall(0x70a0823100000000000000000000000000000000000000000000000000000000);
address(address((address((address(storage[0x13])))))).call{ value: 0 }(ret0.length, 0x70a0823100000000000000000000000000000000000000000000000000000000);
address(address(storage[0x13])).staticcall(0x70a0823100000000000000000000000000000000000000000000000000000000, ((0x84 + memory[0x40]) - memory[0x40]) + 0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffe0);
address(address(storage[0x08])).staticcall(0x15f2405300000000000000000000000000000000000000000000000000000000, storage[(0x01 + keccak256(memory[0]))], 0, 0);","if ((address(arg1)) == msg.sender) { .. }
if (storage[0x0d]) { .. }
if (!(((storage[0x0d]) & ((0x0de0b6b3a7640000 > (0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff / storage[0x0d])))))) { .. }
if (!((storage[0x0f] > (~((memory[(0 + memory[0x40])])))))) { .. }
if (storage[0x0e] == block.number) { .. }
if (!((!((address((address(storage[0x08]))).code.length))))) { .. }
if (!(((storage[0x0f] + (memory[(0 + memory[0x40])])) < storage[0x0f]))) { .. }
if (bytes1((storage[0x07] / 0x010000000000000000000000000000000000000000))) { .. }
if ((address(arg1)) == tx.origin) { .. }
if (storage[keccak256(memory[0])]) { .. }
if (!((block.number == storage[0x0e]))) { .. }
if (!((!((address((address(storage[0x10]))).code.length))))) { .. }
if (!((0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee == (address(storage[0x13]))))) { .. }
if (((storage[0x0d] * 0x0de0b6b3a7640000) / storage[0x0d]) == 0x0de0b6b3a7640000) { .. }
if (!((!((address((address(storage[0x13]))).code.length))))) { .. }
if (address((address((address(storage[0x13]))))).code.length) { .. }
if (arg1 == (address(arg1))) { .. }
if (storage[(0x01 + keccak256(memory[0]))]) { .. }"
47bd3718,"totalBorrows()",false,true,false,uint256,1606,1,"","","0x0b","","",21230,23408,22320,"",""
852a12e3,"redeemUnderlying(arg0 uint256)",false,false,false,,2110,37,"","","0x0f
0x0b
0x09
0x0d
0x07
0x03
0x0e
0x0c
0x08","re-entered
SafeMath: subtraction overflow
one of redeemTokensIn or redeemAmountIn should be 0
borrow rate is absurdly high
SafeMath: multiplication overflow
SafeMath: addition overflow
SafeMath: division by zero","",21186,39889,30495,"address(address(storage[0x08])).staticcall(0x15f2405300000000000000000000000000000000000000000000000000000000, 0, 0, 0);","if (!arg0) { .. }
if (bytes1((storage[0x07] / 0x010000000000000000000000000000000000000000))) { .. }
if (!(((storage[0x0f] + storage[0x0b]) < storage[0x0f]))) { .. }
if (storage[0x03]) { .. }
if (!((storage[0x0c] > (storage[0x0f] + storage[0x0b])))) { .. }
if (!(((storage[0x0f] + storage[0x0b]) < storage[0x0c]))) { .. }
if (!((!((address((address(storage[0x08]))).code.length))))) { .. }
if (!((storage[0x0f] > ~(storage[0x0b])))) { .. }
if (!((block.number == storage[0x0e]))) { .. }"
db006a75,"redeem(arg0 uint256)",false,false,false,,2905,36,"","","0x03
0x08
0x09
0x07
0x0c
0x0e
0x0b
0x0f
0x0d","one of redeemTokensIn or redeemAmountIn should be 0
SafeMath: addition overflow
SafeMath: subtraction overflow
SafeMath: multiplication overflow
re-entered
borrow rate is absurdly high
SafeMath: division by zero","",21228,39931,30537,"address(address(storage[0x08])).staticcall(0x15f2405300000000000000000000000000000000000000000000000000000000, arg0, 0, 0);","if (storage[0x03]) { .. }
if (!arg0) { .. }
if (!((block.number == storage[0x0e]))) { .. }
if (!(((storage[0x0f] + storage[0x0b]) < storage[0x0c]))) { .. }
if (!((storage[0x0f] > ~(storage[0x0b])))) { .. }
if (!(((memory[0x40].length) & ((arg0 > (0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff / memory[0x40].length)))))) { .. }
if (!(((storage[0x0f] + storage[0x0b]) < storage[0x0f]))) { .. }
if (((memory[0x40].length * arg0) / memory[0x40].length) == arg0) { .. }
if (!((!((address((address(storage[0x08]))).code.length))))) { .. }
if (bytes1((storage[0x07] / 0x010000000000000000000000000000000000000000))) { .. }
if (!((storage[0x0c] > (storage[0x0f] + storage[0x0b])))) { .. }"
07e27959,"reduceReserves(arg0 uint256)",false,false,false,,1051,50,"","","0x0f
0x0d
0x0e
0x0b
0x14
0x06
0x0c
0x13
0x08","require admin auth
block number check fails
SafeMath: subtraction overflow
SafeERC20: ERC20 operation did not succeed
borrow rate is absurdly high
Address: call to non-contract
SafeMath: multiplication overflow
Transfer of ETH failed
insufficient balance of underlying asset
invalid reduce amount","",21209,45563,27048,"address(address((address(storage[0x06])))).call{ gas: storage[0x14], value: arg0 }();
address(address((address((address(storage[0x13])))))).call{ value: 0 }(0x08c379a000000000000000000000000000000000000000000000000000000000);
address(address((address((address(storage[0x13])))))).call{ value: 0 }(ret0.length, 0x536166654d6174683a207375627472616374696f6e206f766572666c6f770000, 0x1e);
address(address(storage[0x08])).staticcall(0x15f2405300000000000000000000000000000000000000000000000000000000, 0x536166654d6174683a207375627472616374696f6e206f766572666c6f770000, ((0x64 + memory[0x40]) - memory[0x40]) + 0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffe0, 0xa9059cbb00000000000000000000000000000000000000000000000000000000 | (uint224((memory[(memory[0x40] + 0x20)]))));","if (!((!((address((address(storage[0x08]))).code.length))))) { .. }
if (!((block.number < storage[0x0e]))) { .. }
if (!(((0) & ((storage[0x0b] > 0))))) { .. }
if (!((arg0 > storage[0x0c]))) { .. }
if (msg.sender == (address(storage[0x06]))) { .. }
if (!((storage[0x0e] > block.number))) { .. }
if (((0 * storage[0x0b]) / 0) == storage[0x0b]) { .. }
if (storage[0x0e] == block.number) { .. }
if (!((block.number == storage[0x0e]))) { .. }
if (!((storage[0x0c] < arg0))) { .. }
if (!((0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee == (address(storage[0x13]))))) { .. }
if (address((address((address(storage[0x13]))))).code.length) { .. }
if (!((storage[0x0f] < arg0))) { .. }
if (!((arg0 > storage[0x0f]))) { .. }"
6c540baf,"accrualBlockNumber()",false,true,false,uint256,1810,1,"","","0x0e","","",21207,23385,22297,"",""
c2ee3a08,"ONE()",false,false,true,uint256,2688,1,"","","","","",21184,21262,21224,"",""
aa5af0fd,"borrowIndex()",false,true,false,uint256,2401,1,"","","0x0d","","",21229,23407,22319,"",""
